occurrence_id,resource_id,source_id,source_path,line_start,line_end,heading_path,block_type,link_text,raw_occurrence_text,normalized_occurrence_text,context_before,context_after,code_fence_language,source_section_label,in_public_index,public_index_paths,occurrence_role,extraction_method,normalization_notes,review_notes
occ_52039caa46fe7b,res_21adf84c6a847e,src_29cd8f23cdaa1d,Private & Shared/XettaтАЩs Web AppSEC Notes/0days 2c824a24402344d1a18ccdc202bf4dea.md,3,3,,bare_url,,https://0dayfans.com/,https://0dayfans.com/,https://0dayfans.com/,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_53fa9facf4df7c,res_8a1457ead3e90c,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,3,3,,bare_url,,https://gist.github.com/ruevaughn/8a8e26533ffe495284e7531daad5d9d0,https://gist.github.com/ruevaughn/8a8e26533ffe495284e7531daad5d9d0,https://gist.github.com/ruevaughn/8a8e26533ffe495284e7531daad5d9d0,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_54bd049e8952e1,res_3fb6637600a03b,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,7,7,,bare_url,,https://github.com/Az0x7/vulnerability-Checklist,https://github.com/Az0x7/vulnerability-Checklist,https://github.com/Az0x7/vulnerability-Checklist,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_c27b45fc05de41,res_8fd6b5efee64b0,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,11,11,,markdown_link,Payloads All The Things,https://swisskyrepo.github.io/PayloadsAllTheThingsWeb/,https://swisskyrepo.github.io/PayloadsAllTheThingsWeb/,[Payloads All The Things](https://swisskyrepo.github.io/PayloadsAllTheThingsWeb/),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_344885a1ecf464,res_df0684e8c8b7f5,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,15,15,,markdown_link,https://github.com/riramar/Web-Attack-Cheat-Sheet,https://github.com/riramar/Web-Attack-Cheat-Sheet,https://github.com/riramar/Web-Attack-Cheat-Sheet,[https://github.com/riramar/Web-Attack-Cheat-Sheet](https://github.com/riramar/Web-Attack-Cheat-Sheet),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_364789ae32b48c,res_59ee420204765a,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,19,19,,markdown_link,GitHub - zPrototype/bugbounty_stuff,https://github.com/zPrototype/bugbounty_stuff?fbclid=IwAR1JXKfL9lDU_-b6aK1t3HnxMR3umnTSnjVn9cX2py1JWuP4wxN5r-81BEA,https://github.com/zPrototype/bugbounty_stuff,[GitHub - zPrototype/bugbounty_stuff](https://github.com/zPrototype/bugbounty_stuff?fbclid=IwAR1JXKfL9lDU_-b6aK1t3HnxMR3umnTSnjVn9cX2py1JWuP4wxN5r-81BEA),,,,true,RESOURCES.md,primary_resource,url_regex,normalized boundary,
occ_34f6154b4db2dc,res_416aa25e0f5ba2,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,23,23,,markdown_link,AllAboutBugBounty/Cross Site Scripting.md at master · daffainfo/AllAboutBugBounty,https://github.com/daffainfo/AllAboutBugBounty/blob/master/Cross%20Site%20Scripting.md?fbclid=IwAR08rkeaXzAGOP5AojgzarxlqwPfI93VQDJLPJp6ZaXu825aIQ_0nt1zGOE,https://github.com/daffainfo/AllAboutBugBounty/blob/master/Cross%20Site%20Scripting.md,[AllAboutBugBounty/Cross Site Scripting.md at master · daffainfo/AllAboutBugBounty](https://github.com/daffainfo/AllAboutBugBounty/blob/master/Cross%20Site%20Sc,,,,true,RESOURCES.md,primary_resource,url_regex,normalized boundary,
occ_e6ebc335bf5013,res_f3f4174c7f73ac,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,27,27,,markdown_link,HackTricks,https://book.hacktricks.xyz/,https://book.hacktricks.xyz/,[HackTricks](https://book.hacktricks.xyz/),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_d38a85566fe2af,res_198ab279a6b5e9,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,31,31,,markdown_link,GitHub - Kitsun3Sec/Pentest-Cheat-Sheets: A collection of snippets of codes and commands to make your life easier!,https://github.com/Kitsun3Sec/Pentest-Cheat-Sheets?fbclid=IwAR0C5z8V7xvxRULy0Di3Am4zk-kckfijy2cmRSL-AZ9LFKCq_PqlYLalVZc#xss,https://github.com/Kitsun3Sec/Pentest-Cheat-Sheets#xss,[GitHub - Kitsun3Sec/Pentest-Cheat-Sheets: A collection of snippets of codes and commands to make your life easier!](https://github.com/Kitsun3Sec/Pentest-Cheat,,,,true,RESOURCES.md,primary_resource,url_regex,normalized boundary,
occ_e8074e19dd967f,res_d9bf301d55be40,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,35,35,,markdown_link,https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc,https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc,https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc,    [https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc](https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_8ef80e94e7082c,res_5fe83bf402f10b,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,38,38,,markdown_link,Bug Bounty Short Tips as image (UPDATED),https://l.facebook.com/l.php?u=https%3A%2F%2Fsinsinology.medium.com%2Fbug-bounty-short-tips-as-image-b4075523e4ef%3Ffbclid%3DIwAR18wXx3ehJsxq4DZXuI1XPYc7pe-ANM3rwRijXgZ3hmFxd0djW11Jnh0kw&h=AT2fzBUago_Esxn0O5Zfj_IcwY9JyPfttbFbMeVXR27kHcjF_4WCeC74zsxGyLaSbfodC9CIXbZ1KM_TRAUty6iSBkmuckZRFyZthdDg1SNPHCim6LY0gfQpCq6aKfcp_qKusw,https://l.facebook.com/l.php?u=https%3A%2F%2Fsinsinology.medium.com%2Fbug-bounty-short-tips-as-image-b4075523e4ef%3Ffbclid%3DIwAR18wXx3ehJsxq4DZXuI1XPYc7pe-ANM3rwRijXgZ3hmFxd0djW11Jnh0kw&h=AT2fzBUago_Esxn0O5Zfj_IcwY9JyPfttbFbMeVXR27kHcjF_4WCeC74zsxGyLaSbfodC9CIXbZ1KM_TRAUty6iSBkmuckZRFyZthdDg1SNPHCim6LY0gfQpCq6aKfcp_qKusw,[Bug Bounty Short Tips as image (UPDATED)](https://l.facebook.com/l.php?u=https%3A%2F%2Fsinsinology.medium.com%2Fbug-bounty-short-tips-as-image-b4075523e4ef%3Ff,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_14a478e83b9558,res_2abea67ab7827d,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,42,42,,markdown_link,Awesome Bug Bounty Bookmarks,https://attacker-codeninja.github.io/2021-06-27-Awesome-BB-Bookmarks/?fbclid=IwAR3n8KyQWiCrKY-Gm6xFA_rUtHWHMAZGnjyNqeYWc7xIyU3hiUTRfY_07EA,https://attacker-codeninja.github.io/2021-06-27-Awesome-BB-Bookmarks/,[Awesome Bug Bounty Bookmarks](https://attacker-codeninja.github.io/2021-06-27-Awesome-BB-Bookmarks/?fbclid=IwAR3n8KyQWiCrKY-Gm6xFA_rUtHWHMAZGnjyNqeYWc7xIyU3hiU,,,,true,RESOURCES.md,primary_resource,url_regex,normalized boundary,
occ_10c7dca7b38f7f,res_ed401f0984ab37,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,46,46,,markdown_link,eJPT-Cheatsheet/eJPT CheatSheet.md at main · Hellfire0x01/eJPT-Cheatsheet,https://github.com/hellfire0x01/eJPT-Cheatsheet/blob/main/eJPT%20CheatSheet.md?fbclid=IwAR1RIkA_ZCHmFIxMonCF3Sn_7aCkC0teTlaFguUmf1rWa09t3yAt5rqSaVU,https://github.com/hellfire0x01/eJPT-Cheatsheet/blob/main/eJPT%20CheatSheet.md,[eJPT-Cheatsheet/eJPT CheatSheet.md at main · Hellfire0x01/eJPT-Cheatsheet](https://github.com/hellfire0x01/eJPT-Cheatsheet/blob/main/eJPT%20CheatSheet.md?fbcli,,,,true,RESOURCES.md,primary_resource,url_regex,normalized boundary,
occ_e000cccb477225,res_8877386f46f009,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,50,50,,markdown_link,GitHub - 0xCGonzalo/Golden-Guide-for-Pentesting: Golden Guide,https://github.com/0xCGonzalo/Golden-Guide-for-Pentesting?fbclid=IwAR1JyPNJX3m-fiW2TUFbMtXEVeaTi3y-1y-CfKu8TZXffC-GEQWT5_VrBS8,https://github.com/0xCGonzalo/Golden-Guide-for-Pentesting,[GitHub - 0xCGonzalo/Golden-Guide-for-Pentesting: Golden Guide](https://github.com/0xCGonzalo/Golden-Guide-for-Pentesting?fbclid=IwAR1JyPNJX3m-fiW2TUFbMtXEVeaTi,,,,true,RESOURCES.md,primary_resource,url_regex,normalized boundary,
occ_c6cf1d6f4d3d08,res_6c51475fcb487a,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,54,54,,markdown_link,GitHub - sehno/Bug-bounty: Ressources for bug bounty hunting,https://github.com/sehno/Bug-bounty?fbclid=IwAR0_y0XVSu-WcSW7Ec6ez6vyUb4Gl7YcC3XcZT1fRdVvwt_i-t5KcToGfHw,https://github.com/sehno/Bug-bounty,[GitHub - sehno/Bug-bounty: Ressources for bug bounty hunting](https://github.com/sehno/Bug-bounty?fbclid=IwAR0_y0XVSu-WcSW7Ec6ez6vyUb4Gl7YcC3XcZT1fRdVvwt_i-t5K,,,,true,RESOURCES.md,primary_resource,url_regex,normalized boundary,
occ_221a44e3846bab,res_ac7ce2aa3ad6bb,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,58,58,,markdown_link,Archive/Web-Hacking/Content-Discovery at main · 7RU7H/Archive,https://github.com/7RU7H/Archive/tree/main/Web-Hacking/Content-Discovery,https://github.com/7RU7H/Archive/tree/main/Web-Hacking/Content-Discovery,[Archive/Web-Hacking/Content-Discovery at main · 7RU7H/Archive](https://github.com/7RU7H/Archive/tree/main/Web-Hacking/Content-Discovery),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_46a8c238a752d6,res_9dceaee248d25b,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,62,62,,markdown_link,https://github.com/6vr/Bug-Bounty-Tips,https://github.com/6vr/Bug-Bounty-Tips,https://github.com/6vr/Bug-Bounty-Tips,[https://github.com/6vr/Bug-Bounty-Tips](https://github.com/6vr/Bug-Bounty-Tips),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_411d3518501223,res_6546eaef2cc41a,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,66,66,,markdown_link,Offensive Security Cheatsheet,https://cheatsheet.haax.fr/web-pentest/misc_tricks/,https://cheatsheet.haax.fr/web-pentest/misc_tricks/,[Offensive Security Cheatsheet](https://cheatsheet.haax.fr/web-pentest/misc_tricks/),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_dbad0fb56195ac,res_2062c069a3c50f,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,70,70,,markdown_link,https://github.com/HolyBugx/HolyTips/,https://github.com/HolyBugx/HolyTips/,https://github.com/HolyBugx/HolyTips/,[https://github.com/HolyBugx/HolyTips/](https://github.com/HolyBugx/HolyTips/),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_aafc138e7e5e9e,res_ca86b3c3b576ef,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,74,74,,markdown_link,https://github.com/punishell/bbtips,https://github.com/punishell/bbtips,https://github.com/punishell/bbtips,[https://github.com/punishell/bbtips](https://github.com/punishell/bbtips),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_bcbb03474525ac,res_5ce56813c1ea99,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,78,78,,bare_url,,https://linktr.ee/tuhin1729,https://linktr.ee/tuhin1729,https://linktr.ee/tuhin1729,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_4ffaadaa38ff06,res_02cc15d279765b,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,82,82,,markdown_link,https://github.com/oxfemale/PENTESTING-BIBLE,https://github.com/oxfemale/PENTESTING-BIBLE,https://github.com/oxfemale/PENTESTING-BIBLE,[https://github.com/oxfemale/PENTESTING-BIBLE](https://github.com/oxfemale/PENTESTING-BIBLE),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_5d8a49d35e9b17,res_943119e6400941,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,88,88,,markdown_link,Web Application Penetration Testing Notes,https://techvomit.net/web-application-penetration-testing-notes/,https://techvomit.net/web-application-penetration-testing-notes/,[Web Application Penetration Testing Notes](https://techvomit.net/web-application-penetration-testing-notes/),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_b8eab95ef81186,res_df21036c45dc04,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,92,92,,markdown_link,Tags | f4d3,https://f4d3.io/tags/,https://f4d3.io/tags/,[Tags | f4d3](https://f4d3.io/tags/),,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_97e6020e3e4e62,res_95e648306e24c1,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,98,98,,markdown_link,https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0,https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0,https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0,[https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0](https://docs.google.com/presentation/d/1dYmd,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_09b59ed86e2a28,res_68532a733a1edd,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,102,102,,bare_url,,https://github.com/KathanP19/HowToHunt/blob/master/CheckList/Web_Checklist_by_Chintan_Gurjar.pdf,https://github.com/KathanP19/HowToHunt/blob/master/CheckList/Web_Checklist_by_Chintan_Gurjar.pdf,WAPT - https://github.com/KathanP19/HowToHunt/blob/master/CheckList/Web_Checklist_by_Chintan_Gurjar.pdf,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_12f7838f22d6ad,res_9fe3976e234a45,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,103,103,,bare_url,,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Authentication.pdf,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Authentication.pdf,Authenication - https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Authentication.pdf,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_68e7c3897ffaa7,res_03447fe9f71127,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,104,104,,bare_url,,https://binarybrotherhood.io/oauth2_threat_model.html,https://binarybrotherhood.io/oauth2_threat_model.html,Oauth Misconfiguration - https://binarybrotherhood.io/oauth2_threat_model.html,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_d6fd24e7433d7d,res_ccfef458283c2e,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,105,105,,bare_url,,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Fille%20Upload.pdf,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Fille%20Upload.pdf,File Upload - https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Fille%20Upload.pdf,,,,true,RESOURCES.md,primary_resource,url_regex,,
occ_c486d8321d4647,res_65800483db6fc1,src_09dcd8542ae093,Private & Shared/XettaтАЩs Web AppSEC Notes/ALL IN ONE Cheat Sheets c263b653a9d344e9876cf60e7b759ffc.md,106,106,,bare_url,,https://notion.so/IDOR-Attack-vectors-exploitation-bypasses-and-chains-0b73eb18e9b640ce8c337af831397a6b,https://notion.so/IDOR-Attack-vectors-exploitation-bypasses-and-chains-0b73eb18e9b640ce8c337af831397a6b,IDOR - https://notion.so/IDOR-Attack-vectors-exploitation-bypasses-and-chains-0b73eb18e9b640ce8c337af831397a6b,,,,true,RESOURCES.md,primary_resource,url_regex,,
