resource_id,resource_kind,resource_type,title,canonical_value,raw_value_representative,normalized_url,domain,platform,bug_class,resource_category,quality_tier,curation_status,source_confidence,is_external,is_placeholder,is_malformed,contains_secret_placeholder,tool_name,command_language,summary,notes,first_seen_source_id,first_seen_line_start,occurrence_count,unique_source_count,created_at,last_reviewed
res_21adf84c6a847e,url,article,0dayfans.com,https://0dayfans.com/,https://0dayfans.com/,https://0dayfans.com/,0dayfans.com,unknown,general,rce_cve_research,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_29cd8f23cdaa1d,3,1,1,2026-06-06,
res_8a1457ead3e90c,url,cheat_sheet,ruevaughn/8a8e26533ffe495284e7531daad5d9d0,https://gist.github.com/ruevaughn/8a8e26533ffe495284e7531daad5d9d0,https://gist.github.com/ruevaughn/8a8e26533ffe495284e7531daad5d9d0,https://gist.github.com/ruevaughn/8a8e26533ffe495284e7531daad5d9d0,gist.github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,3,1,1,2026-06-06,
res_3fb6637600a03b,url,cheat_sheet,Az0x7/vulnerability-Checklist,https://github.com/Az0x7/vulnerability-Checklist,https://github.com/Az0x7/vulnerability-Checklist,https://github.com/Az0x7/vulnerability-Checklist,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,7,2,2,2026-06-06,
res_8fd6b5efee64b0,url,payload_collection,Payloads All The Things,https://swisskyrepo.github.io/PayloadsAllTheThingsWeb/,https://swisskyrepo.github.io/PayloadsAllTheThingsWeb/,https://swisskyrepo.github.io/PayloadsAllTheThingsWeb/,swisskyrepo.github.io,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,11,1,1,2026-06-06,
res_df0684e8c8b7f5,url,cheat_sheet,https://github.com/riramar/Web-Attack-Cheat-Sheet,https://github.com/riramar/Web-Attack-Cheat-Sheet,https://github.com/riramar/Web-Attack-Cheat-Sheet,https://github.com/riramar/Web-Attack-Cheat-Sheet,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,15,1,1,2026-06-06,
res_59ee420204765a,url,writeup,GitHub - zPrototype/bugbounty_stuff,https://github.com/zPrototype/bugbounty_stuff,https://github.com/zPrototype/bugbounty_stuff?fbclid=IwAR1JXKfL9lDU_-b6aK1t3HnxMR3umnTSnjVn9cX2py1JWuP4wxN5r-81BEA,https://github.com/zPrototype/bugbounty_stuff,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,true,false,,,,,src_09dcd8542ae093,19,1,1,2026-06-06,
res_416aa25e0f5ba2,url,writeup,AllAboutBugBounty/Cross Site Scripting.md at master · daffainfo/AllAboutBugBounty,https://github.com/daffainfo/AllAboutBugBounty/blob/master/Cross%20Site%20Scripting.md,https://github.com/daffainfo/AllAboutBugBounty/blob/master/Cross%20Site%20Scripting.md?fbclid=IwAR08rkeaXzAGOP5AojgzarxlqwPfI93VQDJLPJp6ZaXu825aIQ_0nt1zGOE,https://github.com/daffainfo/AllAboutBugBounty/blob/master/Cross%20Site%20Scripting.md,github.com,github,general,payloads_cheatsheets_wordlists;training_labs_videos,tier_2_useful,reviewed,inferred,true,false,true,false,,,,,src_09dcd8542ae093,23,1,1,2026-06-06,
res_f3f4174c7f73ac,url,cheat_sheet,HackTricks,https://book.hacktricks.xyz/,https://book.hacktricks.xyz/,https://book.hacktricks.xyz/,book.hacktricks.xyz,unknown,general,payloads_cheatsheets_wordlists,tier_1_core,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,27,2,2,2026-06-06,
res_198ab279a6b5e9,url,cheat_sheet,GitHub - Kitsun3Sec/Pentest-Cheat-Sheets: A collection of snippets of codes and commands to make your life easier!,https://github.com/Kitsun3Sec/Pentest-Cheat-Sheets#xss,https://github.com/Kitsun3Sec/Pentest-Cheat-Sheets?fbclid=IwAR0C5z8V7xvxRULy0Di3Am4zk-kckfijy2cmRSL-AZ9LFKCq_PqlYLalVZc#xss,https://github.com/Kitsun3Sec/Pentest-Cheat-Sheets#xss,github.com,github,xss,payloads_cheatsheets_wordlists;xss_client_side,tier_2_useful,reviewed,inferred,true,false,true,false,,,,,src_09dcd8542ae093,31,1,1,2026-06-06,
res_d9bf301d55be40,url,cheat_sheet,https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc,https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc,https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc,https://open.spotify.com/track/0IFW7ZaRi8ee3X5aBKjvGc,open.spotify.com,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,35,1,1,2026-06-06,
res_5fe83bf402f10b,url,writeup,Bug Bounty Short Tips as image (UPDATED),https://l.facebook.com/l.php?u=https%3A%2F%2Fsinsinology.medium.com%2Fbug-bounty-short-tips-as-image-b4075523e4ef%3Ffbclid%3DIwAR18wXx3ehJsxq4DZXuI1XPYc7pe-ANM3rwRijXgZ3hmFxd0djW11Jnh0kw&h=AT2fzBUago_Esxn0O5Zfj_IcwY9JyPfttbFbMeVXR27kHcjF_4WCeC74zsxGyLaSbfodC9CIXbZ1KM_TRAUty6iSBkmuckZRFyZthdDg1SNPHCim6LY0gfQpCq6aKfcp_qKusw,https://l.facebook.com/l.php?u=https%3A%2F%2Fsinsinology.medium.com%2Fbug-bounty-short-tips-as-image-b4075523e4ef%3Ffbclid%3DIwAR18wXx3ehJsxq4DZXuI1XPYc7pe-ANM3rwRijXgZ3hmFxd0djW11Jnh0kw&h=AT2fzBUago_Esxn0O5Zfj_IcwY9JyPfttbFbMeVXR27kHcjF_4WCeC74zsxGyLaSbfodC9CIXbZ1KM_TRAUty6iSBkmuckZRFyZthdDg1SNPHCim6LY0gfQpCq6aKfcp_qKusw,https://l.facebook.com/l.php?u=https%3A%2F%2Fsinsinology.medium.com%2Fbug-bounty-short-tips-as-image-b4075523e4ef%3Ffbclid%3DIwAR18wXx3ehJsxq4DZXuI1XPYc7pe-ANM3rwRijXgZ3hmFxd0djW11Jnh0kw&h=AT2fzBUago_Esxn0O5Zfj_IcwY9JyPfttbFbMeVXR27kHcjF_4WCeC74zsxGyLaSbfodC9CIXbZ1KM_TRAUty6iSBkmuckZRFyZthdDg1SNPHCim6LY0gfQpCq6aKfcp_qKusw,l.facebook.com,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,38,1,1,2026-06-06,
res_2abea67ab7827d,url,writeup,Awesome Bug Bounty Bookmarks,https://attacker-codeninja.github.io/2021-06-27-Awesome-BB-Bookmarks/,https://attacker-codeninja.github.io/2021-06-27-Awesome-BB-Bookmarks/?fbclid=IwAR3n8KyQWiCrKY-Gm6xFA_rUtHWHMAZGnjyNqeYWc7xIyU3hiUTRfY_07EA,https://attacker-codeninja.github.io/2021-06-27-Awesome-BB-Bookmarks/,attacker-codeninja.github.io,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,true,false,,,,,src_09dcd8542ae093,42,1,1,2026-06-06,
res_ed401f0984ab37,url,cheat_sheet,eJPT-Cheatsheet/eJPT CheatSheet.md at main · Hellfire0x01/eJPT-Cheatsheet,https://github.com/hellfire0x01/eJPT-Cheatsheet/blob/main/eJPT%20CheatSheet.md,https://github.com/hellfire0x01/eJPT-Cheatsheet/blob/main/eJPT%20CheatSheet.md?fbclid=IwAR1RIkA_ZCHmFIxMonCF3Sn_7aCkC0teTlaFguUmf1rWa09t3yAt5rqSaVU,https://github.com/hellfire0x01/eJPT-Cheatsheet/blob/main/eJPT%20CheatSheet.md,github.com,github,lfi,payloads_cheatsheets_wordlists;xxe_lfi_file_read,tier_2_useful,reviewed,inferred,true,false,true,false,,,,,src_09dcd8542ae093,46,1,1,2026-06-06,
res_8877386f46f009,url,cheat_sheet,GitHub - 0xCGonzalo/Golden-Guide-for-Pentesting: Golden Guide,https://github.com/0xCGonzalo/Golden-Guide-for-Pentesting,https://github.com/0xCGonzalo/Golden-Guide-for-Pentesting?fbclid=IwAR1JyPNJX3m-fiW2TUFbMtXEVeaTi3y-1y-CfKu8TZXffC-GEQWT5_VrBS8,https://github.com/0xCGonzalo/Golden-Guide-for-Pentesting,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,true,false,,,,,src_09dcd8542ae093,50,1,1,2026-06-06,
res_6c51475fcb487a,url,writeup,GitHub - sehno/Bug-bounty: Ressources for bug bounty hunting,https://github.com/sehno/Bug-bounty,https://github.com/sehno/Bug-bounty?fbclid=IwAR0_y0XVSu-WcSW7Ec6ez6vyUb4Gl7YcC3XcZT1fRdVvwt_i-t5KcToGfHw,https://github.com/sehno/Bug-bounty,github.com,github,rce,payloads_cheatsheets_wordlists;rce_cve_research,tier_2_useful,reviewed,inferred,true,false,true,false,,,,,src_09dcd8542ae093,54,2,2,2026-06-06,
res_ac7ce2aa3ad6bb,url,cheat_sheet,Archive/Web-Hacking/Content-Discovery at main · 7RU7H/Archive,https://github.com/7RU7H/Archive/tree/main/Web-Hacking/Content-Discovery,https://github.com/7RU7H/Archive/tree/main/Web-Hacking/Content-Discovery,https://github.com/7RU7H/Archive/tree/main/Web-Hacking/Content-Discovery,github.com,github,general,payloads_cheatsheets_wordlists;recon_osint,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,58,1,1,2026-06-06,
res_9dceaee248d25b,url,writeup,https://github.com/6vr/Bug-Bounty-Tips,https://github.com/6vr/Bug-Bounty-Tips,https://github.com/6vr/Bug-Bounty-Tips,https://github.com/6vr/Bug-Bounty-Tips,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,62,2,2,2026-06-06,
res_6546eaef2cc41a,url,cheat_sheet,Offensive Security Cheatsheet,https://cheatsheet.haax.fr/web-pentest/misc_tricks/,https://cheatsheet.haax.fr/web-pentest/misc_tricks/,https://cheatsheet.haax.fr/web-pentest/misc_tricks/,cheatsheet.haax.fr,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,66,1,1,2026-06-06,
res_2062c069a3c50f,url,cheat_sheet,https://github.com/HolyBugx/HolyTips/,https://github.com/HolyBugx/HolyTips/,https://github.com/HolyBugx/HolyTips/,https://github.com/HolyBugx/HolyTips/,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,70,1,1,2026-06-06,
res_ca86b3c3b576ef,url,cheat_sheet,https://github.com/punishell/bbtips,https://github.com/punishell/bbtips,https://github.com/punishell/bbtips,https://github.com/punishell/bbtips,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,74,2,2,2026-06-06,
res_5ce56813c1ea99,url,cheat_sheet,tuhin1729,https://linktr.ee/tuhin1729,https://linktr.ee/tuhin1729,https://linktr.ee/tuhin1729,linktr.ee,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,78,1,1,2026-06-06,
res_02cc15d279765b,url,cheat_sheet,https://github.com/oxfemale/PENTESTING-BIBLE,https://github.com/oxfemale/PENTESTING-BIBLE,https://github.com/oxfemale/PENTESTING-BIBLE,https://github.com/oxfemale/PENTESTING-BIBLE,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,82,1,1,2026-06-06,
res_943119e6400941,url,cheat_sheet,Web Application Penetration Testing Notes,https://techvomit.net/web-application-penetration-testing-notes/,https://techvomit.net/web-application-penetration-testing-notes/,https://techvomit.net/web-application-penetration-testing-notes/,techvomit.net,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,88,1,1,2026-06-06,
res_df21036c45dc04,url,cheat_sheet,Tags | f4d3,https://f4d3.io/tags/,https://f4d3.io/tags/,https://f4d3.io/tags/,f4d3.io,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,92,1,1,2026-06-06,
res_95e648306e24c1,url,cheat_sheet,https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0,https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0,https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0,https://docs.google.com/presentation/d/1dYmdqZh-8JJ-FV20dtAz4VTLshDNBIhpGvfr4xv0OiA/edit#slide=id.g99dc314c47_5_0,docs.google.com,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,98,1,1,2026-06-06,
res_68532a733a1edd,url,cheat_sheet,KathanP19/HowToHunt,https://github.com/KathanP19/HowToHunt/blob/master/CheckList/Web_Checklist_by_Chintan_Gurjar.pdf,https://github.com/KathanP19/HowToHunt/blob/master/CheckList/Web_Checklist_by_Chintan_Gurjar.pdf,https://github.com/KathanP19/HowToHunt/blob/master/CheckList/Web_Checklist_by_Chintan_Gurjar.pdf,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,102,1,1,2026-06-06,
res_9fe3976e234a45,url,cheat_sheet,HolyBugx/HolyTips,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Authentication.pdf,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Authentication.pdf,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Authentication.pdf,github.com,github,auth,api_auth_graphql;payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,103,1,1,2026-06-06,
res_03447fe9f71127,url,cheat_sheet,oauth2 threat model,https://binarybrotherhood.io/oauth2_threat_model.html,https://binarybrotherhood.io/oauth2_threat_model.html,https://binarybrotherhood.io/oauth2_threat_model.html,binarybrotherhood.io,unknown,auth,api_auth_graphql;payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,104,1,1,2026-06-06,
res_ccfef458283c2e,url,cheat_sheet,HolyBugx/HolyTips,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Fille%20Upload.pdf,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Fille%20Upload.pdf,https://github.com/HolyBugx/HolyTips/blob/main/Checklist/Fille%20Upload.pdf,github.com,github,file_upload,file_upload_parser_abuse;payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,105,1,1,2026-06-06,
res_65800483db6fc1,url,cheat_sheet,IDOR Attack vectors exploitation bypasses and chains 0b73eb18e9b640ce8c337af831397a6b,https://notion.so/IDOR-Attack-vectors-exploitation-bypasses-and-chains-0b73eb18e9b640ce8c337af831397a6b,https://notion.so/IDOR-Attack-vectors-exploitation-bypasses-and-chains-0b73eb18e9b640ce8c337af831397a6b,https://notion.so/IDOR-Attack-vectors-exploitation-bypasses-and-chains-0b73eb18e9b640ce8c337af831397a6b,notion.so,unknown,access_control;waf_bypass,payloads_cheatsheets_wordlists;web_platform_bypass,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,106,1,1,2026-06-06,
res_7492302ba1dca1,url,cheat_sheet,cheat sheet,https://portswigger.net/web-security/cross-site-scripting/cheat-sheet,https://portswigger.net/web-security/cross-site-scripting/cheat-sheet,https://portswigger.net/web-security/cross-site-scripting/cheat-sheet,portswigger.net,unknown,xss,payloads_cheatsheets_wordlists;xss_client_side,tier_1_core,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,107,1,1,2026-06-06,
res_9832012b5e7c3e,url,cheat_sheet,cheat sheet,https://portswigger.net/web-security/sql-injection/cheat-sheet,https://portswigger.net/web-security/sql-injection/cheat-sheet,https://portswigger.net/web-security/sql-injection/cheat-sheet,portswigger.net,unknown,sqli,payloads_cheatsheets_wordlists;sql_injection,tier_1_core,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,108,1,1,2026-06-06,
res_0ed54f6f9ec27a,url,cheat_sheet,lprTDCXRYgb,https://link.medium.com/lprTDCXRYgb,https://link.medium.com/lprTDCXRYgb,https://link.medium.com/lprTDCXRYgb,link.medium.com,unknown,xxe,payloads_cheatsheets_wordlists;xxe_lfi_file_read,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,109,1,1,2026-06-06,
res_c15504f23ca691,url,cheat_sheet,server side request forgery,https://0xn3va.gitbook.io/cheat-sheets/web-application/server-side-request-forgery,https://0xn3va.gitbook.io/cheat-sheets/web-application/server-side-request-forgery,https://0xn3va.gitbook.io/cheat-sheets/web-application/server-side-request-forgery,0xn3va.gitbook.io,unknown,ssrf,payloads_cheatsheets_wordlists;ssrf,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,110,1,1,2026-06-06,
res_a0ca2b89689974,url,cheat_sheet,view,https://drive.google.com/file/d/11Fizx/Vw4GIZ60s5v3I1S5p8kXZHEXFT/view,https://drive.google.com/file/d/11Fizx/Vw4GIZ60s5v3I1S5p8kXZHEXFT/view,https://drive.google.com/file/d/11Fizx/Vw4GIZ60s5v3I1S5p8kXZHEXFT/view,drive.google.com,unknown,auth,api_auth_graphql;payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,111,1,1,2026-06-06,
res_60ae65d248177c,url,cheat_sheet,cors misconfiguration,https://0xn3va.gitbook.io/cheat-sheets/web-application/cors-misconfiguration,https://0xn3va.gitbook.io/cheat-sheets/web-application/cors-misconfiguration,https://0xn3va.gitbook.io/cheat-sheets/web-application/cors-misconfiguration,0xn3va.gitbook.io,unknown,cors_csrf,payloads_cheatsheets_wordlists;web_platform_bypass,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,112,1,1,2026-06-06,
res_07a8c1c4641258,url,cheat_sheet,MX5hzfESYgb,https://link.medium.com/MX5hzfESYgb,https://link.medium.com/MX5hzfESYgb,https://link.medium.com/MX5hzfESYgb,link.medium.com,unknown,access_control;cloud,cloud_infra;payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,113,1,1,2026-06-06,
res_3ecf0425dacc87,url,cheat_sheet,csrf cross site request forgery,https://book.hacktricks.xyz/pertesting-web/csrf-cross-site-request-forgery,https://book.hacktricks.xyz/pertesting-web/csrf-cross-site-request-forgery,https://book.hacktricks.xyz/pertesting-web/csrf-cross-site-request-forgery,book.hacktricks.xyz,unknown,cors_csrf,payloads_cheatsheets_wordlists;web_platform_bypass,tier_1_core,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,114,1,1,2026-06-06,
res_7892a22f98445c,url,cheat_sheet,insecure deserialization explained with examples,https://thehackerish.com/insecure-deserialization-explained-with-examples/,https://thehackerish.com/insecure-deserialization-explained-with-examples/,https://thehackerish.com/insecure-deserialization-explained-with-examples/,thehackerish.com,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,115,1,1,2026-06-06,
res_c06ffaac201031,url,cheat_sheet,web cache poisoning,https://0xn3va.gitbook.io/cheat-sheets/web-application/web-cache-poisoning,https://0xn3va.gitbook.io/cheat-sheets/web-application/web-cache-poisoning,https://0xn3va.gitbook.io/cheat-sheets/web-application/web-cache-poisoning,0xn3va.gitbook.io,unknown,general,payloads_cheatsheets_wordlists;web_platform_bypass,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,116,1,1,2026-06-06,
res_b1f2492293855b,url,cheat_sheet,finding,https://portswigger.net/web-security/request-smuggling/finding,https://portswigger.net/web-security/request-smuggling/finding,https://portswigger.net/web-security/request-smuggling/finding,portswigger.net,unknown,request_smuggling,payloads_cheatsheets_wordlists;web_platform_bypass,tier_1_core,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,117,1,1,2026-06-06,
res_089216cdb7d231,url,payload_collection,swisskyrepo/PayloadsAllThe,https://github.com/swisskyrepo/PayloadsAllThe,https://github.com/swisskyrepo/PayloadsAllThe,https://github.com/swisskyrepo/PayloadsAllThe,github.com,github,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,118,1,1,2026-06-06,
res_cf856eac2280ed,url,cheat_sheet,e11/014,https://github.com/e11/014/derson/SAML-SSO,https://github.com/e11/014/derson/SAML-SSO,https://github.com/e11/014/derson/SAML-SSO,github.com,github,auth,api_auth_graphql;payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,119,1,1,2026-06-06,
res_573ed61a54c86e,url,cheat_sheet,race conditions exploring the possibilities,https://pandaonair.com/2020/06/11/race-conditions-exploring-the-possibilities.html,https://pandaonair.com/2020/06/11/race-conditions-exploring-the-possibilities.html,https://pandaonair.com/2020/06/11/race-conditions-exploring-the-possibilities.html,pandaonair.com,unknown,general,payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,120,1,1,2026-06-06,
res_135435456af0d0,url,cheat_sheet,s3 bucket misconfiguration from basics to pawn 6893776d1007,https://medium.com/@janijay007/s3-bucket-misconfiguration-from-basics-to-pawn-6893776d1007,https://medium.com/@janijay007/s3-bucket-misconfiguration-from-basics-to-pawn-6893776d1007,https://medium.com/@janijay007/s3-bucket-misconfiguration-from-basics-to-pawn-6893776d1007,medium.com,unknown,cloud,cloud_infra;payloads_cheatsheets_wordlists,tier_2_useful,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,121,1,1,2026-06-06,
res_ddb3de5ce898f3,url,cheat_sheet,server side template injection,https://portswigger.net/research/server-side-template-injection,https://portswigger.net/research/server-side-template-injection,https://portswigger.net/research/server-side-template-injection,portswigger.net,unknown,general,payloads_cheatsheets_wordlists,tier_1_core,reviewed,inferred,true,false,false,false,,,,,src_09dcd8542ae093,122,1,1,2026-06-06,
